,question,answer,source
20,木曜日授業振替※4,7月5日(火),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
21,琉球大学説明会(オープンキャンパス),7月17日(日),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
22,前学期試験期間(※5),8月3日(水)  ~ 8月9日 (火),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
23,英語全学統一テスト(※6),8月10日(水),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
24,予備日(※7),"8月12日(金) , 8月15日 (月)",https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
26,"英語全学統一テスト予備日(※6)
授業終了(前学期/第2クォーター)※8",8月16日(火),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
28,夏季休業,8月17日(水)  ~ 9月30日 (金),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
29,成績開示(前学期/第2クォーター)※2,9月1日(木),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
30,授業時間割配当表公開,9月22日(木),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
31,琉大祭,9月24日(土)  ~ 9月25日 (日),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
32,授業科目の仮登録(後学期/第3・第4クォーター)※3,9月26日(月)  ~ 9月28日 (水),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
33,仮登録抽選,9月29日(木),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
34,仮登録抽選結果開示(後学期/第3・第4クォーター),9月30日(金),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
35,登録調整期間(後学期/第3・第4クォーター),9月30日(金)  ~ 10月17日 (月),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
36,前学期終了,9月30日(金),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
37,後学期開始,10月1日(土),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
38,授業開始(後学期/第3クォーター),10月3日(月),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
39,琉大祭予備日(※9),10月8日(土)  ~ 10月9日 (日),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
40,履修中止手続期間(第3クォーター),10月18日(火)  ~ 10月24日 (月),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
41,履修中止手続期間(後学期/後学期開始の通年科目),10月18日(火)  ~ 11月7日 (月),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
42,授業開始(第4クォーター),11月29日(火),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
43,履修中止手続期間(第4クォーター),11月29日(火)  ~ 12月19日 (月),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
44,授業終了(第3クォーター)※8,12月1日(木),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
45,学校推薦型選抜等(休講),12月7日(水),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
46,冬季休業,12月24日(土)  ~ 1月3日 (火),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
47,授業開始,1月4日(水),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
48,成績開示(第3クォーター),1月4日(水),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
49,月曜日授業振替※4,1月10日(火),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
50,大学入学共通テスト準備(休講),1月13日(金),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
51,大学入学共通テスト,1月14日(土)  ~ 1月15日 (日),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
52,大学入学共通テスト追試験準備(休講),1月27日(金),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
53,大学入学共通テスト追試験,1月28日(土)  ~ 1月29日 (日),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
55,後学期の試験期間(※5),"2月2日(木) , 2月6日(月)  , 2月10日(金) 2月8日 (水)",https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
57,英語全学統一テスト(※6),2月9日(木),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
58,予備日(※7),2月13日(月)  ~ 2月14日 (火),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
60,"英語全学統一テスト予備日(※6),
授業終了(後学期/第4クォーター)※8",2月15日(水),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
62,春季休業,2月16日(木)  ~ 3月31日 (金),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
63,一般選抜(前期),2月25日(土)  ~ 2月26日 (日),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
64,成績開示(後学期/第4クォーター)※2,3月1日(水),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
65,一般選抜(後期),3月12日(日),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
66,一般選抜(追試験),3月22日(水),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
67,卒業式,3月23日(木),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
68,学年及び後学期終了,3月31日(金),https://rais.skr.u-ryukyu.ac.jp/wordpress/wp-content/uploads/gakunenreki/R4_gakunenreki.pdf
