,question,answer,source
23,人工知能,科目番号は知能211、教室は[月1]工1－322、登録人数は90、履修登録方法は抽選対象、開講年度は2022、期間は後学期、曜日時限は月1、開講学部等は工学部工学科、講義コードは617013002、科目名[英文名]は人工知能、単位数は2、担当教員[ローマ字表記]は遠藤 聡志 先生です。,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=617013002&je_cd=1
24,ソフトウエア開発演習I,科目番号は知能212、教室は[木2]工1－321 [木3]工1－321、登録人数は70、履修登録方法は抽選対象、開講年度は2022、期間は第３ｸｫｰﾀｰ、曜日時限は木2〜3、開講学部等は工学部工学科、講義コードは617014002、科目名[英文名]はソフトウエア開発演習I、単位数は2、担当教員[ローマ字表記]は國田　樹　[Itsuki Kunita] 先生です。,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=617014002&je_cd=1
25,VLSI設計,科目番号は知能224、教室は[月2]情報基盤統括センター第３実習室、登録人数は35、履修登録方法は抽選対象、開講年度は2022、期間は後学期、曜日時限は月2、開講学部等は工学部工学科、講義コードは617018002、科目名[英文名]はVLSI設計、単位数は2、担当教員[ローマ字表記]は和田 知久 先生です。,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=617018002&je_cd=1
26,言語理論とオートマトン,科目番号は知能225、教室は[水4]工1－321、登録人数は65、履修登録方法は抽選対象、開講年度は2022、期間は後学期、曜日時限は水4、開講学部等は工学部工学科、講義コードは617019002、科目名[英文名]は言語理論とオートマトン、単位数は2、担当教員[ローマ字表記]は河野 真治 先生です。,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=617019002&je_cd=1
27,ディジタル信号処理,科目番号は知能226、教室は[水2]工1－322、登録人数は90、履修登録方法は抽選対象、開講年度は2022、期間は後学期、曜日時限は水2、開講学部等は工学部工学科、講義コードは617020002、科目名[英文名]はディジタル信号処理、単位数は2、担当教員[ローマ字表記]は姜 東植 先生です。,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=617020002&je_cd=1
28,情報理論,科目番号は知能227、教室は[金2]工1－322、登録人数は90、履修登録方法は抽選対象、開講年度は2022、期間は後学期、曜日時限は金2、開講学部等は工学部工学科、講義コードは617029002、科目名[英文名]は情報理論、単位数は2、担当教員[ローマ字表記]は姜 東植 先生です。,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=617029002&je_cd=1
29,知能情報基礎演習Ⅲ 01組,科目番号は知能228、教室は[月3]地創棟508 [月4]地創棟508、登録人数は40、履修登録方法は抽選対象、開講年度は2022、期間は第３ｸｫｰﾀｰ、曜日時限は月3〜4、開講学部等は工学部工学科、講義コードは617052012、科目名[英文名]は知能情報基礎演習Ⅲ 01組、単位数は1、担当教員[ローマ字表記]は吉田 たけお 先生です。,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=617052012&je_cd=1
30,知能情報基礎演習Ⅲ 02組,科目番号は知能228、教室は[金3]地創棟508 [金4]地創棟508、登録人数は40、履修登録方法は抽選対象、開講年度は2022、期間は第３ｸｫｰﾀｰ、曜日時限は金3〜4、開講学部等は工学部工学科、講義コードは617052022、科目名[英文名]は知能情報基礎演習Ⅲ 02組、単位数は1、担当教員[ローマ字表記]は吉田 たけお 先生です。,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=617052022&je_cd=1
31,知能情報基礎演習Ⅳ 01組,科目番号は知能229、教室は[月3]地創棟508 [月4]地創棟508、登録人数は40、履修登録方法は抽選対象、開講年度は2022、期間は第４ｸｫｰﾀｰ、曜日時限は月3〜4、開講学部等は工学部工学科、講義コードは617053012、科目名[英文名]は知能情報基礎演習Ⅳ 01組、単位数は1、担当教員[ローマ字表記]は宮里 智樹 先生です。,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=617053012&je_cd=1
32,知能情報基礎演習Ⅳ 02組,科目番号は知能229、教室は[金3]地創棟508 [金4]地創棟508、登録人数は40、履修登録方法は抽選対象、開講年度は2022、期間は第４ｸｫｰﾀｰ、曜日時限は金3〜4、開講学部等は工学部工学科、講義コードは617053022、科目名[英文名]は知能情報基礎演習Ⅳ 02組、単位数は1、担当教員[ローマ字表記]は宮里 智樹 先生です。,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=617053022&je_cd=1
33,インターネットアーキテクチャ,"科目番号は知能325、教室はなし、登録人数は4、履修登録方法は調整期間登録、開講年度は2022、期間は後学期、曜日時限は集中、開講学部等は工学部工学科、講義コードは617026002、科目名[英文名]はインターネットアーキテクチャ、単位数は2、担当教員[ローマ字表記]は名嘉村 盛和 先生 ,  岡﨑 威生 先生です。",https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=617026002&je_cd=1
34,計算機言語構成論,科目番号は知能328、教室は[水5]工1－321、登録人数は60、履修登録方法は抽選対象、開講年度は2022、期間は後学期、曜日時限は水5、開講学部等は工学部工学科、講義コードは617030002、科目名[英文名]は計算機言語構成論、単位数は2、担当教員[ローマ字表記]は河野 真治 先生です。,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=617030002&je_cd=1
35,知能ロボット,科目番号は知能332、教室は[木5]工1－322、登録人数は90、履修登録方法は抽選対象、開講年度は2022、期間は後学期、曜日時限は木5、開講学部等は工学部工学科、講義コードは617034002、科目名[英文名]は知能ロボット、単位数は2、担当教員[ローマ字表記]は山田 孝治 先生です。,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=617034002&je_cd=1
36,コレクティブインテリジェンス,科目番号は知能333、教室は[金3]工1－321 [金4]工1－321、登録人数は70、履修登録方法は抽選対象、開講年度は2022、期間は第３ｸｫｰﾀｰ、曜日時限は金3〜4、開講学部等は工学部工学科、講義コードは617035002、科目名[英文名]はコレクティブインテリジェンス、単位数は2、担当教員[ローマ字表記]は國田　樹　[Itsuki Kunita] 先生です。,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=617035002&je_cd=1
37,ICT実践英語II,科目番号は知能422、教室は[木1]共4－305、登録人数は30、履修登録方法は抽選対象、開講年度は2022、期間は後学期、曜日時限は木1、開講学部等は工学部工学科、講義コードは617040002、科目名[英文名]はICT実践英語II、単位数は2、担当教員[ローマ字表記]は比嘉　健伸 先生です。,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=617040002&je_cd=1
38,知能情報特別講義I,科目番号は知能491、教室はなし、登録人数はなし、履修登録方法は調整期間登録、開講年度は2022、期間は後学期、曜日時限は集中、開講学部等は工学部工学科、講義コードは617045002、科目名[英文名]は知能情報特別講義I、単位数は2、担当教員[ローマ字表記]は玉城　絵美　[Emi Tamaki] 先生です。,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=617045002&je_cd=1
